        A,         B,    NUM_LANES,    CAPACITY,    DISTANCE,    POSTSPD,    FTC2
       178,     26220,         1,     10000,      0.79,     12.50,         0
       179,     21563,         1,     10000,      0.90,     12.50,         0
       180,     21055,         1,     10000,      1.11,     12.50,         0
       181,     21047,         1,     10000,      0.41,     12.50,         0
       182,     21071,         1,     10000,      0.52,     12.50,         0
       183,     22387,         1,     10000,      1.22,     12.50,         0
       184,     21563,         1,     10000,      1.06,     12.50,         0
       184,     21603,         1,     10000,      1.66,     12.50,         0
       184,     21617,         1,     10000,      0.37,     12.50,         0
       185,     21185,         1,     10000,      0.53,     12.50,         0
       185,     21677,         1,     10000,      0.59,     12.50,         0
       185,     21699,         1,     10000,      0.78,     12.50,         0
       186,     21238,         1,     10000,      1.48,     12.50,         0
       186,     21695,         1,     10000,      0.49,     12.50,         0
       186,     21707,         1,     10000,      0.52,     12.50,         0
       187,     21715,         1,     10000,      1.19,     12.50,         0
       187,     22157,         1,     10000,      0.98,     12.50,         0
       187,     22280,         1,     10000,      1.20,     12.50,         0
       188,     21679,         1,     10000,      0.88,     12.50,         0
       188,     22095,         1,     10000,      1.06,     12.50,         0
       188,     22280,         1,     10000,      0.53,     12.50,         0
       189,     21971,         1,     10000,      0.56,     12.50,         0
       190,     22695,         1,     10000,      0.63,     12.50,         0
       191,     22469,         1,     10000,      0.98,     12.50,         0
       191,     22811,         1,     10000,      0.42,     12.50,         0
       191,     22819,         1,     10000,      1.09,     12.50,         0
       192,     22843,         1,     10000,      0.37,     12.50,         0
       192,     23201,         1,     10000,      0.72,     12.50,         0
       192,     23219,         1,     10000,      1.30,     12.50,         0
       193,     22803,         1,     10000,      0.47,     12.50,         0
       193,     23113,         1,     10000,      1.03,     12.50,         0
       193,     23157,         1,     10000,      0.56,     12.50,         0
       194,     22687,         1,     10000,      0.59,     12.50,         0
       194,     23113,         1,     10000,      1.07,     12.50,         0
       195,     23347,         1,     10000,      1.04,     12.50,         0
       195,     23381,         1,     10000,      1.29,     12.50,         0
       196,     23375,         1,     10000,      1.04,     12.50,         0
       196,     23465,         1,     10000,      0.48,     12.50,         0
       196,     23473,         1,     10000,      0.55,     12.50,         0
       197,     23353,         1,     10000,      0.14,     12.50,         0
       197,     23409,         1,     10000,      0.21,     12.50,         0
       198,     23407,         1,     10000,      0.61,     12.50,         0
       198,     23465,         1,     10000,      0.39,     12.50,         0
       199,     23505,         1,     10000,      0.38,     12.50,         0
       199,     23527,         1,     10000,      1.21,     12.50,         0
       199,     23545,         1,     10000,      1.37,     12.50,         0
       200,     21971,         1,     10000,      1.22,     12.50,         0
       200,     22029,         1,     10000,      0.58,     12.50,         0
       200,     22030,         1,     10000,      0.52,     12.50,         0
       201,     21677,         1,     10000,      0.58,     12.50,         0
       201,     21679,         1,     10000,      1.45,     12.50,         0
       201,     21695,         1,     10000,      0.38,     12.50,         0
       202,     22119,         1,     10000,      1.47,     12.50,         0
       202,     22195,         1,     10000,      1.54,     12.50,         0
       202,     22346,         1,     10000,      0.58,     12.50,         0
       202,     22509,         1,     10000,      0.61,     12.50,         0
       203,     22119,         1,     10000,      0.43,     12.50,         0
       203,     22500,         1,     10000,      0.20,     12.50,         0
       204,     22479,         1,     10000,      1.02,     12.50,         0
       204,     22505,         1,     10000,      1.09,     12.50,         0
       204,     22509,         1,     10000,      0.73,     12.50,         0
       204,     22537,         1,     10000,      2.00,     12.50,         0
       205,     22195,         1,     10000,      0.25,     12.50,         0
       205,     22197,         1,     10000,      0.33,     12.50,         0
       206,     22197,         1,     10000,      0.87,     12.50,         0
       206,     22537,         1,     10000,      0.45,     12.50,         0
       206,     22545,         1,     10000,      0.74,     12.50,         0
       207,     22505,         1,     10000,      1.02,     12.50,         0
       207,     22843,         1,     10000,      1.02,     12.50,         0
       207,     22867,         1,     10000,      1.26,     12.50,         0
       208,     22057,         1,     10000,      1.05,     12.50,         0
       208,     22387,         1,     10000,      1.47,     12.50,         0
       208,     22427,         1,     10000,      0.77,     12.50,         0
       208,     22467,         1,     10000,      0.78,     12.50,         0
       209,     22427,         1,     10000,      0.95,     12.50,         0
       209,     22693,         1,     10000,      1.05,     12.50,         0
       209,     22748,         1,     10000,      1.11,     12.50,         0
       209,     22809,         1,     10000,      1.17,     12.50,         0
       210,     22201,         1,     10000,      1.56,     12.50,         0
       210,     22259,         1,     10000,      0.57,     12.50,         0
       210,     22262,         1,     10000,      0.43,     12.50,         0
       210,     22299,         1,     10000,      1.42,     12.50,         0
       211,     22259,         1,     10000,      0.97,     12.50,         0
       211,     22556,         1,     10000,      1.08,     12.50,         0
       211,     22602,         1,     10000,      1.29,     12.50,         0
       212,     22601,         1,     10000,      2.07,     12.50,         0
       212,     22617,         1,     10000,      1.17,     12.50,         0
       212,     22621,         1,     10000,      0.93,     12.50,         0
       213,     22617,         1,     10000,      0.99,     12.50,         0
       213,     22965,         1,     10000,      1.78,     12.50,         0
       213,     22999,         1,     10000,      0.83,     12.50,         0
       213,     25066,         1,     10000,      1.78,     12.50,         0
       214,     25059,         1,     10000,      0.64,     12.50,         0
       214,     25062,         1,     10000,      0.40,     12.50,         0
       214,     25071,         1,     10000,      0.82,     12.50,         0
       215,     26955,         1,     10000,      0.38,     12.50,         0
       216,     25071,         1,     10000,      0.73,     12.50,         0
       216,     25089,         1,     10000,      1.28,     12.50,         0
       216,     25094,         1,     10000,      0.96,     12.50,         0
       217,     25121,         1,     10000,      0.74,     12.50,         0
       218,     22581,         1,     10000,      0.89,     12.50,         0
       218,     22901,         1,     10000,      1.34,     12.50,         0
       218,     22953,         1,     10000,      0.67,     12.50,         0
       218,     22965,         1,     10000,      1.42,     12.50,         0
       219,     22545,         1,     10000,      0.96,     12.50,         0
       219,     22867,         1,     10000,      0.59,     12.50,         0
       219,     22877,         1,     10000,      1.06,     12.50,         0
       220,     23011,         1,     10000,      1.30,     12.50,         0
       220,     23267,         1,     10000,      1.50,     12.50,         0
       220,     23299,         1,     10000,      0.61,     12.50,         0
       220,     25089,         1,     10000,      2.07,     12.50,         0
       221,     23587,         1,     10000,      0.48,     12.50,         0
       221,     25103,         1,     10000,      0.30,     12.50,         0
       221,     25105,         1,     10000,      0.53,     12.50,         0
       222,     23585,         1,     10000,      0.38,     12.50,         0
       222,     23587,         1,     10000,      0.44,     12.50,         0
       223,     23295,         1,     10000,      0.58,     12.50,         0
       223,     23581,         1,     10000,      0.65,     12.50,         0
       223,     23585,         1,     10000,      0.75,     12.50,         0
       224,     23278,         1,     10000,      0.70,     12.50,         0
       224,     23571,         1,     10000,      0.40,     12.50,         0
       224,     23579,         1,     10000,      0.29,     12.50,         0
       225,     22903,         1,     10000,      1.14,     12.50,         0
