SEGMENT: 1,SCENARIO:  HEFT-W of 57th,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
 22:   ,   2900,   2548,     44,     36,   5528,    1.5,    1.4,   0.35,   0.31,   0.01,   0.01,   68.6,   69.0,   75.0,   75.0,   0.19,   0.19
 23:   ,   2350,   2175,     36,     31,   4591,    1.5,    1.4,   0.29,   0.26,   0.01,   0.01,   68.6,   69.0,   75.0,   75.0,   0.19,   0.19
 24:   ,   1352,   1488,     21,     21,   2881,    1.5,    1.4,   0.16,   0.18,   0.00,   0.00,   68.6,   69.0,   75.0,   75.0,   0.19,   0.19
TOTAL:, 100107,  98487,   4576,   5897, 209067,    4.4,    5.6,

TOTAL GU CORRIDOR:,  198594
TOTAL XL CORRIDOR:,   10472
TOTAL CORRIDOR:,  209067,

PULL LINK
XL NB A NODE:,   92059
XL NB B NODE:,   92060
XL SB A NODE:,   92016
XL SB B NODE:,   92017
GU NB A NODE:,   27591
GU NB B NODE:,   27590
GU SB A NODE:,   27588
GU SB B NODE:,   27589

SEGMENT: 4,SCENARIO:  N of Bird Plaza,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
  1:   ,    749,    861,     32,     35,   1678,    4.1,    3.9,   0.13,   0.14,   0.01,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  2:   ,    381,    503,     16,     21,    921,    4.1,    3.9,   0.06,   0.08,   0.00,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  3:   ,    288,    364,     12,     15,    679,    4.1,    4.0,   0.05,   0.06,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  4:   ,    399,    466,     17,     19,    902,    4.1,    3.9,   0.07,   0.08,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  5:   ,    824,    698,     36,     29,   1586,    4.1,    3.9,   0.14,   0.12,   0.01,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  6:   ,   2215,   1814,     96,     75,   4200,    4.1,    4.0,   0.37,   0.30,   0.02,   0.02,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  7:   ,   5764,   6098,    321,    448,  12632,    5.3,    6.8,   0.97,   1.02,   0.08,   0.11,   34.4,   24.8,   70.0,   70.0,   0.19,   0.19
  8:   ,   6898,   3679,   3446,    473,  14496,   33.3,   11.4,   1.16,   0.62,   0.84,   0.12,   14.9,   64.9,   69.3,   70.0,   0.55,   0.19
  9:   ,   7223,   3972,   3676,    534,  15405,   33.7,   11.8,   1.21,   0.67,   0.90,   0.13,   12.8,   64.9,   65.0,   70.0,   1.13,   0.19
 10:   ,   6271,   2984,   1903,    344,  11502,   23.3,   10.3,   1.05,   0.50,   0.46,   0.08,   21.7,   65.0,   69.9,   70.0,   0.19,   0.19
 11:   ,   4991,   6271,    376,   1049,  12687,    7.0,   14.3,   0.84,   1.05,   0.09,   0.26,   64.6,   21.7,   70.0,   70.0,   0.19,   0.19
 12:   ,   4834,   5477,    361,    496,  11169,    7.0,    8.3,   0.81,   0.92,   0.09,   0.12,   64.7,   50.9,   70.0,   70.0,   0.19,   0.19
 13:   ,   5012,   5531,    378,    519,  11441,    7.0,    8.6,   0.84,   0.93,   0.09,   0.13,   64.5,   46.8,   70.0,   70.0,   0.19,   0.19
 14:   ,   5281,   5711,    410,    609,  12011,    7.2,    9.6,   0.89,   0.96,   0.10,   0.15,   63.2,   36.6,   70.0,   70.0,   0.19,   0.19
 15:   ,   5808,   5948,    585,    759,  13101,    9.1,   11.3,   0.98,   1.00,   0.14,   0.19,   32.7,   28.4,   70.0,   70.0,   0.19,   0.19
 16:   ,   6229,   6362,   1390,   2024,  16005,   18.2,   24.1,   1.05,   1.07,   0.34,   0.49,   22.4,   20.4,   70.0,   69.9,   0.19,   0.19
