  A,  B,  Dir1, Dir2, Dir3, Dir4, Comments: 1=I595 EB & 2=I595 WB
  28690.00,  28678.00,      1.00,         0,         0,         0,         0
  28709.00,  28651.00,         0,      1.00,         0,         0,         0
  28717.00,  40351.00,         0,      1.00,         0,         0,         0
  28747.00,  40011.00,         0,      1.00,         0,         0,         0
  28757.00,  40061.00,         0,      1.00,         0,         0,         0
  28766.00,  40025.00,         0,      1.00,         0,         0,         0
  28769.00,  34675.00,         0,      1.00,         0,         0,         0
  28770.00,  30925.00,         0,      1.00,         0,         0,         0
  28772.00,  32207.00,         0,      1.00,         0,         0,         0
  28773.00,  28778.00,      1.00,         0,         0,         0,         0
  28774.00,  28174.00,         0,      1.00,         0,         0,         0
  28775.00,  28776.00,      1.00,         0,         0,         0,         0
  28776.00,  28663.00,      1.00,         0,         0,         0,         0
  28777.00,  33464.00,         0,      1.00,         0,         0,         0
  28778.00,  31413.00,      1.00,         0,         0,         0,         0
  28781.00,  28774.00,         0,      1.00,         0,         0,         0
  28787.00,  34693.00,         0,      1.00,         0,         0,         0
  28791.00,  28787.00,         0,      1.00,         0,         0,         0
  28794.00,  30914.00,         0,      1.00,         0,         0,         0
  28795.00,  32307.00,      1.00,         0,         0,         0,         0
  28816.00,  28820.00,      1.00,         0,         0,         0,         0
  28817.00,  34199.00,         0,      1.00,         0,         0,         0
  28820.00,  28824.00,      1.00,         0,         0,         0,         0
  28821.00,  28105.00,         0,      1.00,         0,         0,         0
  28823.00,  28821.00,         0,      1.00,         0,         0,         0
  28824.00,  28850.00,      1.00,         0,         0,         0,         0
  28837.00,  29462.00,         0,      1.00,         0,         0,         0
  28847.00,  34212.00,         0,      1.00,         0,         0,         0
  28849.00,  28854.00,      1.00,         0,         0,         0,         0
  28850.00,  28849.00,      1.00,         0,         0,         0,         0
  28854.00,  30558.00,      1.00,         0,         0,         0,         0
  28861.00,  28823.00,         0,      1.00,         0,         0,         0
  28875.00,  28207.00,      1.00,         0,         0,         0,         0
  28876.00,  33455.00,         0,      1.00,         0,         0,         0
  28877.00,  33172.00,      1.00,         0,         0,         0,         0
  28895.00,  28899.00,      1.00,         0,         0,         0,         0
  28899.00,  33522.00,      1.00,         0,         0,         0,         0
  28900.00,  28896.00,         0,      1.00,         0,         0,         0
  28903.00,  30731.00,         0,      1.00,         0,         0,         0
  28905.00,  28903.00,         0,      1.00,         0,         0,         0
  28907.00,  28905.00,         0,      1.00,         0,         0,         0
  28909.00,  35148.00,         0,      1.00,         0,         0,         0
  28911.00,  28385.00,         0,      1.00,         0,         0,         0
  28913.00,  28909.00,         0,      1.00,         0,         0,         0
  28916.00,  28922.00,         0,      1.00,         0,         0,         0
